# Avida count data
# Thu Feb 26 18:32:17 2009
#  1: update
#  2: number of insts executed this update
#  3: number of organisms
#  4: number of different genotypes
#  5: number of different threshold genotypes
#  6: number of different species
#  7: number of different threshold species
#  8: number of different lineages
#  9: number of births in this update
# 10: number of deaths in this update
# 11: number of breed true
# 12: number of breed true organisms?
# 13: number of no-birth organisms
# 14: number of single-threaded organisms
# 15: number of multi-threaded organisms
# 16: number of modified organisms

6500 107940 3598 2804 3113 0 0 0 198 198 67 1416 2100 3598 0 0
6600 107910 3597 2803 3116 0 0 0 218 218 73 1391 2096 3597 0 0
6700 107880 3598 2769 3084 0 0 0 253 251 103 1471 2083 3598 0 0
6800 107910 3595 2795 3146 0 0 0 179 181 74 1436 2142 3595 0 0
6900 107880 3599 2805 3175 0 0 0 239 236 111 1408 2107 3599 0 0
7000 107910 3597 2760 3277 0 0 0 207 207 85 1463 2083 3597 0 0
7100 107940 3597 2799 3220 0 0 0 235 236 104 1499 2089 3597 0 0
7200 107820 3596 2791 3228 0 0 0 218 216 93 1447 2119 3596 0 0
7300 107940 3597 2796 3197 0 0 0 198 199 82 1397 2090 3597 0 0
7400 107970 3599 2752 3347 0 0 0 212 212 87 1475 2113 3599 0 0
7500 107910 3597 2753 3253 0 0 0 190 190 87 1448 2057 3597 0 0
7600 107850 3598 2757 3245 0 0 0 203 200 99 1483 2109 3598 0 0
7700 107910 3596 2784 3361 0 0 0 227 228 95 1418 2088 3596 0 0
7800 107910 3597 2732 3472 0 0 0 196 196 91 1486 2091 3597 0 0
7900 108000 3599 2794 3448 0 0 0 178 179 76 1416 2103 3599 0 0
8000 107850 3594 2801 3473 0 0 0 238 239 96 1438 2092 3594 0 0
8100 107850 3595 2772 3576 0 0 0 229 229 99 1457 2080 3595 0 0
8200 107970 3598 2748 3659 0 0 0 202 203 89 1454 2084 3598 0 0
8300 107910 3599 2781 3572 0 0 0 228 226 107 1454 2072 3599 0 0
8400 107880 3595 2823 3602 0 0 0 229 230 94 1392 2112 3595 0 0
8500 107910 3595 2821 3612 0 0 0 196 198 77 1410 2097 3595 0 0
8600 107910 3595 2741 3725 0 0 0 196 198 88 1486 2071 3595 0 0
8700 107850 3596 2813 3506 0 0 0 212 211 83 1383 2074 3596 0 0
8800 107730 3592 2765 3625 0 0 0 218 217 86 1441 2077 3592 0 0
8900 107880 3597 2786 3689 0 0 0 182 181 67 1394 2085 3597 0 0
9000 107970 3596 2838 3645 0 0 0 175 178 62 1372 2108 3596 0 0
9100 107880 3594 2744 3616 0 0 0 229 231 93 1454 2093 3594 0 0
9200 107880 3597 2810 3602 0 0 0 223 222 81 1415 2096 3597 0 0
9300 107880 3597 2772 3604 0 0 0 218 217 95 1437 2089 3597 0 0
9400 107910 3597 2837 3683 0 0 0 241 241 91 1401 2099 3597 0 0
9500 108000 3599 2766 3643 0 0 0 254 255 101 1453 2081 3599 0 0
9600 107880 3595 2834 3652 0 0 0 230 231 93 1402 2113 3595 0 0
9700 107850 3596 2732 3611 0 0 0 206 205 91 1495 2116 3596 0 0
9800 107820 3592 2729 3515 0 0 0 235 237 98 1491 2072 3592 0 0
9900 107850 3596 2757 3546 0 0 0 207 206 82 1454 2087 3596 0 0
10000 107940 3595 2805 3484 0 0 0 235 238 94 1441 2108 3595 0 0
10100 107850 3592 2840 3354 0 0 0 205 208 78 1351 2111 3592 0 0
10200 107850 3593 2761 3321 0 0 0 219 221 87 1459 2067 3593 0 0
10300 107910 3596 2793 3448 0 0 0 225 226 89 1398 2073 3596 0 0
10400 107940 3597 2825 3508 0 0 0 236 237 99 1403 2120 3597 0 0
10500 107910 3597 2730 3465 0 0 0 218 218 85 1492 2075 3597 0 0
10600 107850 3595 2822 3361 0 0 0 216 216 89 1389 2073 3595 0 0
10700 107730 3593 2774 3313 0 0 0 231 229 103 1393 2095 3593 0 0
10800 107880 3594 2816 3291 0 0 0 206 208 77 1386 2100 3594 0 0
10900 107880 3596 2776 3263 0 0 0 225 225 84 1406 2067 3596 0 0
11000 107790 3591 2821 3162 0 0 0 203 205 89 1386 2059 3591 0 0
11100 107640 3589 2758 3065 0 0 0 206 205 80 1480 2081 3589 0 0
11200 107850 3594 2804 2881 0 0 0 189 190 86 1404 2111 3594 0 0
11300 107610 3588 2756 2836 0 0 0 228 227 104 1420 2074 3588 0 0
11400 107460 3585 2773 2693 0 0 0 212 209 90 1395 2112 3585 0 0
11500 107430 3579 2737 2356 0 0 0 212 214 86 1435 2074 3579 0 0
11600 107670 3590 2805 2321 0 0 0 225 224 78 1360 2095 3590 0 0
11700 107700 3594 2790 2284 0 0 0 229 225 102 1419 2072 3594 0 0
11800 107700 3589 2742 2280 0 0 0 222 223 89 1430 2069 3589 0 0
11900 107640 3587 2765 2376 0 0 0 226 227 98 1430 2080 3587 0 0
12000 107640 3584 2741 2474 0 0 0 228 232 97 1452 2069 3584 0 0
12100 107790 3596 2690 2532 0 0 0 230 227 92 1485 2068 3596 0 0
12200 107610 3588 2841 2653 0 0 0 206 205 82 1331 2091 3588 0 0
12300 107880 3593 2747 2706 0 0 0 232 235 93 1437 2071 3593 0 0
12400 107760 3594 2760 2714 0 0 0 217 215 90 1437 2116 3594 0 0
12500 107730 3591 2799 2721 0 0 0 226 226 97 1398 2071 3591 0 0
12600 107820 3594 2738 2805 0 0 0 194 194 80 1472 2072 3594 0 0
12700 107730 3588 2779 2865 0 0 0 213 216 98 1422 2062 3588 0 0
12800 107790 3593 2725 2867 0 0 0 198 198 84 1486 2035 3593 0 0
12900 107880 3596 2783 2924 0 0 0 201 201 82 1392 2093 3596 0 0
13000 107730 3592 2783 2851 0 0 0 232 231 96 1439 2092 3592 0 0
13100 107700 3591 2750 2850 0 0 0 213 212 82 1443 2097 3591 0 0
13200 107760 3589 2719 2898 0 0 0 238 241 110 1490 2065 3589 0 0
13300 107700 3592 2808 2960 0 0 0 251 249 106 1414 2086 3592 0 0
13400 107730 3594 2792 3009 0 0 0 211 208 91 1402 2058 3594 0 0
