# Avida Dominant Data
# Thu Feb 26 18:32:17 2009
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

4800 349.817 267.182 1.30929 0.00374278 102 102 88.4091 7 0 0 105 0 10.7852 493871 102-aanje
4900 463.826 272 1.70524 0.00367647 103 103 93 8 2 2 116 0 2.83212 505142 103-aaepx
5000 358.562 274 1.30862 0.00364964 101 101 91 7 3 2 120 0 2.8764 511276 101-aaihy
5100 350 272.125 1.28618 0.00367479 101 101 88.125 7 0 0 127 0 3.09356 532353 101-aajas
5200 513.567 284 1.80834 0.00352113 106 106 99 9 0 0 126 0 3.19368 536464 106-aabeh
5300 370.736 275.204 1.34713 0.00363367 102 102 93.7347 11 2 2 114 0 5.3913 553152 102-aapiw
5400 384.38 279 1.3777 0.00358423 102 102 97 10 1 0 110 0 5.41091 568021 102-aapvo
5500 354.07 365 0.970056 0.00273973 98 98 90 8 0 0 128 0 3.456 578309 098-aadfh
5600 362.482 269.286 1.3461 0.00371354 102 102 91.5714 7 0 0 113 0 5.4296 598571 102-aaqvt
5700 384.386 286.056 1.34375 0.00349583 102 102 97.7778 7 0 0 118 0 2.84444 606248 102-aargo
5800 347.065 270 1.28543 0.0037037 102 102 88 8 0 0 141 0 3.01215 622421 102-aarub
5900 377.12 273.778 1.37746 0.00365261 101 101 95.9259 9 0 0 129 0 5.31387 628610 101-aamve
6000 347.34 270 1.28644 0.0037037 101 101 88 7 0 0 128 0 5.27536 640376 101-aannh
6100 371.44 276.279 1.34444 0.00361954 102 102 94.1346 11 3 2 125 0 6.35897 638362 102-aaslz
6200 350.734 271 1.29422 0.00369004 101 101 89 10 0 0 139 0 5.41176 665476 101-aaoni
6300 363.868 272 1.33775 0.00367647 100 100 92 7 1 0 141 0 5.3913 681562 100-aafqg
6400 384.943 282 1.36505 0.0035461 103 102.647 97 8 0 0 140 0 5.37184 698404 103-aagiw
6500 358.975 272 1.31976 0.00367647 101 101 91 9 4 2 139 0 5.39326 703910 101-aaptm
6600 366.881 273 1.34388 0.003663 101 101 93 9 1 1 143 0 5.46763 719832 101-aaqnb
6700 353.03 285.676 1.23577 0.00350047 102 102 90.1765 8 0 0 130 0 5.37143 712073 102-aavrg
6800 528.996 280 1.88927 0.00357143 102 102 95 10 1 1 148 0 2.79273 736043 102-aawgl
6900 359.68 272 1.32235 0.00367647 101 101 91 9 3 2 158 0 5.29412 743800 101-aarif
